stud.id,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
110348,Female,22,176,73.6,Catholic,1.01,3rd,Political Science,Biology,59,60,1,0,NA
110615,Female,25,148,57.5,Other,2.61,6th,Social Sciences,Environmental Sciences,45,40,1,0,NA
110760,Female,19,158,59.7,Protestant,2.12,3rd,Biology,Mathematics and Statistics,75,83,1,0,NA
111079,Female,20,172,69.1,Catholic,2.3,3rd,Political Science,Environmental Sciences,50,54,1,0,NA
111442,Female,24,172,74.2,Other,1.97,4th,Environmental Sciences,Economics and Finance,72,75,1,0,NA
111469,Male,21,188,87,Catholic,3.88,>6th,Biology,Social Sciences,83,74,0,1,52452.11209
111742,Male,23,186,82.7,Protestant,1.25,5th,Economics and Finance,Environmental Sciences,67,72,1,1,46778.79353
111998,Male,20,174,75.8,Catholic,2.15,5th,Environmental Sciences,Mathematics and Statistics,64,72,1,1,37364.35355
112092,Male,19,177,73.5,Other,2.49,5th,Mathematics and Statistics,Social Sciences,86,91,1,0,NA
112287,Male,19,176,76.1,Protestant,2.68,6th,Political Science,Mathematics and Statistics,52,55,0,1,46075.27427
112480,Male,19,183,84,Protestant,2.2,4th,Mathematics and Statistics,Biology,89,88,1,0,NA
112630,Female,21,165,67.1,Other,1.95,5th,Political Science,Environmental Sciences,63,50,1,1,35939.26382
112656,Female,21,164,68.6,Catholic,1.07,4th,Environmental Sciences,Social Sciences,76,81,1,1,37143.85523
112667,Male,21,172,72.7,Other,1.62,5th,Social Sciences,Environmental Sciences,44,47,0,0,NA
112895,Female,20,173,68.5,Catholic,2.07,4th,Political Science,Social Sciences,55,48,0,0,NA
113042,Male,21,174,78.1,Other,2.06,4th,Environmental Sciences,Mathematics and Statistics,70,76,1,0,NA
113311,Male,20,181,80.7,Catholic,2,4th,Mathematics and Statistics,Environmental Sciences,86,85,0,0,NA
113375,Female,22,175,73.4,Catholic,2.06,5th,Mathematics and Statistics,Environmental Sciences,91,86,0,0,NA
113718,Male,22,185,81.8,Other,2.63,4th,Political Science,Social Sciences,51,56,0,1,45158.136
113719,Female,20,167,64.8,Catholic,3.54,4th,Mathematics and Statistics,Biology,85,88,0,0,NA
113854,Male,25,174,74.3,Catholic,2.74,3rd,Mathematics and Statistics,Environmental Sciences,88,92,1,0,NA
114130,Male,23,186,85.6,Protestant,3.04,>6th,Biology,Mathematics and Statistics,81,75,1,1,50342.21241
114970,Female,24,170,71.9,Protestant,2.22,3rd,Political Science,Environmental Sciences,58,50,1,0,NA
115001,Female,19,144,57.5,Orthodox,1.89,4th,Political Science,Social Sciences,47,61,1,1,36040.20735
115122,Female,21,153,61.1,Catholic,2.99,4th,Political Science,Social Sciences,54,56,1,1,20443.2513
115152,Male,27,179,73.2,Catholic,3.95,3rd,Mathematics and Statistics,Environmental Sciences,83,90,1,0,NA
115475,Female,19,148,60.1,Other,2.49,4th,Social Sciences,Political Science,46,47,1,0,NA
